review,rating,date,bank,source,sentiment_score,sentiment_label
works flawless.,5,2025-11-30,Bank of Abyssinia,Google Play,0.5106,positive
Very easy to use and transfer money,5,2025-11-30,Bank of Abyssinia,Google Play,0.4927,positive
easy to navigate the app,4,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
I've seen other Bank apps and BOA has the best one period.,5,2025-11-30,Bank of Abyssinia,Google Play,0.6369,positive
"Deposits are easy to make on this app. They're much easier than another bank if I have. I like having all of my accounts available. They say they have my statements available but they don't. They are only on the website Recently has a bug, shuts down often.",4,2025-11-30,Bank of Abyssinia,Google Play,0.5574,positive
Easy to operate and safe to use,5,2025-11-30,Bank of Abyssinia,Google Play,0.7003,positive
"easy to use, stable",5,2025-11-30,Bank of Abyssinia,Google Play,0.6249,positive
quick easy deposits,5,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
"Solid app. I cannot use the updated version, for whatever reason.",4,2025-11-30,Bank of Abyssinia,Google Play,0.1531,positive
great great app,5,2025-11-30,Bank of Abyssinia,Google Play,0.8481,positive
Easy to use app…,5,2025-11-30,Bank of Abyssinia,Google Play,0.4404,positive
Horrible. Not friendly. You can't even 'Show' your password. Navigation is difficult. They should look at the Chase app.,2,2025-11-30,Bank of Abyssinia,Google Play,-0.8238,negative
very user friendly and helpful in achieving my banking needs,5,2025-11-30,Bank of Abyssinia,Google Play,0.7414,positive
"easy to make quick transfers, easily switch accounts",5,2025-11-30,Bank of Abyssinia,Google Play,0.6486,positive
Very easy-to-use.,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Great App,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
"Excellent, love it very convenient 👍 👏 👌great, awesome , excellent service 👌 👏 👍",5,2025-11-29,Bank of Abyssinia,Google Play,0.9771,positive
fast and convenient,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
ez to use,5,2025-11-29,Bank of Abyssinia,Google Play,0.3612,positive
I really like it,5,2025-11-29,Bank of Abyssinia,Google Play,0.4201,positive
"Great that im able to keep track of earnings and payouts. Almost no need to enter a bank, the app practically does everything, there's also valuable info on the app to help you develop better money habits.....",5,2025-11-29,Bank of Abyssinia,Google Play,0.8977,positive
very good promotions all the time.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
LOVE MY BANK OF AMERICA,5,2025-11-29,Bank of Abyssinia,Google Play,0.6369,positive
Best app of all of the banks!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6696,positive
AM VERY SATISFIED WITH YOUR EXPERTISE,5,2025-11-29,Bank of Abyssinia,Google Play,0.4754,positive
Customer service not existing....,1,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
It's awesome! love it,5,2025-11-29,Bank of Abyssinia,Google Play,0.8622,positive
many many years no problems,5,2025-11-29,Bank of Abyssinia,Google Play,0.3089,positive
it would be better if we could get daily updates/ predictions of when your new card is going to be delivered,4,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
I really appreciate the online bofa system it really structures my life thanks!!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.7763,positive
why not show us we need an updatei steady nothing works but shows it is. this bank is getting on my last nerve,1,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
App is crashing / logging out when I log in for the first time in a day,2,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
👍🏻GREAT,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
very easy on the eyes,4,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
"Feels insecure. Constantly asks me to update my personal information, when no changes have been made in years. slow loading account transactions. Have to individually pay credit card bills, instead of a single page. Just very clumsy application all around.",1,2025-11-29,Bank of Abyssinia,Google Play,-0.4215,negative
I can't see all the transactions. I want to see from April 10 to now.,1,2025-11-29,Bank of Abyssinia,Google Play,0.0772,positive
always great 👍,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
excellent,5,2025-11-29,Bank of Abyssinia,Google Play,0.5719,positive
it is always easy to use. it's very convenient.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
everything is great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
Very easy.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
I appreciate Bank of America only sometimes I can't deposit a check online,5,2025-11-29,Bank of Abyssinia,Google Play,0.4019,positive
I've been able to do everything so far with this app,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Great App I Really Love It!!!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.8948,positive
great app,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
very good bank,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
Application is very friendly and easy to use . 10 out 10 .,5,2025-11-29,Bank of Abyssinia,Google Play,0.7688,positive
"fast and easy,very informative",5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Awesome!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6588,positive
thank you for all what you do keep online bank safe thank you for acknowledging scammer,5,2025-11-29,Bank of Abyssinia,Google Play,0.7845,positive
Very accessible and easy to navigate.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4877,positive
easy to use.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4404,positive
Easy no hassle!,5,2025-11-29,Bank of Abyssinia,Google Play,0.2481,positive
BofA ABSOLUTELY FREAKING ROCKS!!!! APP is PERFECT,5,2025-11-29,Bank of Abyssinia,Google Play,-0.3169,negative
"b af a is a very good app and if you can't change something in the app you can go online and modify it.. I don't have problems with it and am very content with the features. I wish there was an option to be able to verify say, six months of income without giving my entire statement. other than that, it's great. I've been with B of A for 50 years so obviously this works for me. 50 years! half a century, wow! I just realized how old that sounds and is. lol 😆",5,2025-11-29,Bank of Abyssinia,Google Play,0.9633,positive
Excellent,5,2025-11-29,Bank of Abyssinia,Google Play,0.5719,positive
User friendly,4,2025-11-29,Bank of Abyssinia,Google Play,0.4939,positive
Love the APP and how the bank is keeping up with the times and technology. Always works and been using it for years. BofA is definitely a leader on its app and in the banking industry. Still loving it after decades as a customer. App still works flawlessly.,5,2025-11-29,Bank of Abyssinia,Google Play,0.9118,positive
Responsive and easy to use. Never any issues. BOA customer of 45 years.,5,2025-11-29,Bank of Abyssinia,Google Play,0.6597,positive
love it,5,2025-11-29,Bank of Abyssinia,Google Play,0.6369,positive
app no longer working on my phone,1,2025-11-29,Bank of Abyssinia,Google Play,-0.296,negative
"app glitches, get words wrong when speaking needs, take way to long to connect to real person. (Go back to live agents without aI/automated pls). Disappointed in bank overall. when able to reach, live personnel are great, but very hard to come by. Save your money on technology, train and hire drive through tellers back and more call center personnel.",1,2025-11-29,Bank of Abyssinia,Google Play,0.668,positive
awesome 👌,5,2025-11-29,Bank of Abyssinia,Google Play,0.8816,positive
very easy to access all accounts and see all transactions.,5,2025-11-29,Bank of Abyssinia,Google Play,0.4927,positive
awesome good experience,5,2025-11-29,Bank of Abyssinia,Google Play,0.7906,positive
great.nice and fast,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
fast and efficient! I can also find my way around easily! also? the AI assistant helps 😀💓,5,2025-11-29,Bank of Abyssinia,Google Play,0.9018,positive
Excellent!!,5,2025-11-29,Bank of Abyssinia,Google Play,0.6467,positive
on point!,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Your app is realy helpfull.,5,2025-11-29,Bank of Abyssinia,Google Play,0.0,neutral
Easy to use I like the app,5,2025-11-29,Bank of Abyssinia,Google Play,0.6597,positive
Great,5,2025-11-29,Bank of Abyssinia,Google Play,0.6249,positive
Excellent Great Experience with Customer Service And The Bank Tellers Are Super My Branch in Woodstock Ga is ABSOLUTELY A Great Team Been With Them For 11 years 👏👏👏👏,5,2025-11-29,Bank of Abyssinia,Google Play,0.957,positive
smooth,4,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
"been with b.o.a for 35 years,great bank.",5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
The app is freezing and booting me out involuntarily. The latest message is that the app has a bug and I should clear my cache. Will this fix itself or is there an update coming soon?,1,2025-11-28,Bank of Abyssinia,Google Play,0.296,positive
Easy to use.,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
"EASY TO FOLLOW THROUGH, I LIKE IT...",5,2025-11-28,Bank of Abyssinia,Google Play,0.6597,positive
good app,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
Love this app it is so easy and safe to use.thank you BOA😘 satisfaction is guaranteed 👍👍👍excellent.my favorite app,5,2025-11-28,Bank of Abyssinia,Google Play,0.9628,positive
Once in a while this app can't connect to the mobile data or wifi,2,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
y'all don't even deserve a 1 star that's being to nice.,1,2025-11-28,Bank of Abyssinia,Google Play,0.4215,positive
I have no issue with Bank of America and I've been using them since 2016.,5,2025-11-28,Bank of Abyssinia,Google Play,-0.296,negative
An excellent 👏 app,5,2025-11-28,Bank of Abyssinia,Google Play,0.5719,positive
Love to be able to see if anybody else is using my account,5,2025-11-28,Bank of Abyssinia,Google Play,0.6369,positive
"great, easy and helpful",5,2025-11-28,Bank of Abyssinia,Google Play,0.8689,positive
Great bank ❤️❤️❤️🙏🙏❤️❤️🙏❤️❤️❤️ Have get a day ❤️❤️❤️❤️❤️❤️❤️❤️,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
always alerts me to scams and any rare charges.,5,2025-11-28,Bank of Abyssinia,Google Play,-0.7096,negative
Balance is difficult to track,2,2025-11-28,Bank of Abyssinia,Google Play,-0.3612,negative
professional s,5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
"I love the app, it's shows everything right down to the penny, plus alot of offers. if your card is lost you can lock your phone for whatever reason, Thank you Bank of America, The best bank!",5,2025-11-28,Bank of Abyssinia,Google Play,0.8718,positive
Excelent !!!,5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
love,5,2025-11-28,Bank of Abyssinia,Google Play,0.6369,positive
Bank America is great!! Been with them for years!!! They have the best rate!! Love Bank Of America!!,5,2025-11-28,Bank of Abyssinia,Google Play,0.94,positive
Bank of America was very helpful with me.,5,2025-11-28,Bank of Abyssinia,Google Play,0.4754,positive
Excellent,5,2025-11-28,Bank of Abyssinia,Google Play,0.5719,positive
"very useful, easy to use nn",5,2025-11-28,Bank of Abyssinia,Google Play,0.7485,positive
excellent,5,2025-11-28,Bank of Abyssinia,Google Play,0.5719,positive
easy to pay,5,2025-11-28,Bank of Abyssinia,Google Play,0.3612,positive
The mobile app is working so well.Fast and reliable.,5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
Easy to navigate,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
Great,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
This app is great,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
works well let keep it for a few years Please,5,2025-11-28,Bank of Abyssinia,Google Play,0.5267,positive
the one and only problem I ever have is ordering replacement checks,5,2025-11-28,Bank of Abyssinia,Google Play,-0.4019,negative
easy to navigate,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
"easy,fast,secure",5,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
the app has been a great option for me while I am overseas in the Philippines,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
bring back quick balance,2,2025-11-28,Bank of Abyssinia,Google Play,0.0,neutral
"Wonderful, kind, trustworthy, patient",5,2025-11-28,Bank of Abyssinia,Google Play,0.8934,positive
the employes at the bank when ever I have needed assistance have always been very helpful and patient.,5,2025-11-28,Bank of Abyssinia,Google Play,0.4754,positive
Love the app and very easy to use with fingerprint access. Love it. Thumbs up,5,2025-11-28,Bank of Abyssinia,Google Play,0.9117,positive
Great service,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
"EASY ACCESS,CONVENIENT.",5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
"availability, ease of use, gr8 customer service.",5,2025-11-28,Bank of Abyssinia,Google Play,0.7351,positive
easy and everything is available,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
outstanding application,5,2025-11-28,Bank of Abyssinia,Google Play,0.6124,positive
could stand some improvement.,4,2025-11-28,Bank of Abyssinia,Google Play,0.4588,positive
it's easy to use it. every thing I need it i can finding it. thanks BoA.,5,2025-11-28,Bank of Abyssinia,Google Play,0.7003,positive
always a great experience,5,2025-11-28,Bank of Abyssinia,Google Play,0.6249,positive
pretty good,5,2025-11-28,Bank of Abyssinia,Google Play,0.7269,positive
easy to use and understand.,5,2025-11-28,Bank of Abyssinia,Google Play,0.4404,positive
nice,4,2025-11-27,Bank of Abyssinia,Google Play,0.4215,positive
Always working as it should and never gave me any trouble,5,2025-11-27,Bank of Abyssinia,Google Play,-0.4019,negative
easy to use and very safe,5,2025-11-27,Bank of Abyssinia,Google Play,0.7264,positive
Very easy and straightforward to use,5,2025-11-27,Bank of Abyssinia,Google Play,0.4927,positive
very good,5,2025-11-27,Bank of Abyssinia,Google Play,0.4927,positive
I wish I understood better too,5,2025-11-27,Bank of Abyssinia,Google Play,0.6808,positive
"Love this app, so easy and quick to make transactions",5,2025-11-27,Bank of Abyssinia,Google Play,0.8377,positive
The app is smooth. No issues noted. 👍🏽,5,2025-11-27,Bank of Abyssinia,Google Play,-0.296,negative
Good app,5,2025-11-27,Bank of Abyssinia,Google Play,0.4404,positive
Great,5,2025-11-27,Bank of Abyssinia,Google Play,0.6249,positive
Excellent in,5,2025-11-27,Bank of Abyssinia,Google Play,0.5719,positive
Good,5,2025-11-27,Bank of Abyssinia,Google Play,0.4404,positive
very good.,5,2025-11-27,Bank of Abyssinia,Google Play,0.4927,positive
Excellent app. Very easy to navigate,5,2025-11-27,Bank of Abyssinia,Google Play,0.7841,positive
"Been banking here for 20 years! Great app!!!! Never down, always running with no problems! A+++++",5,2025-11-27,Bank of Abyssinia,Google Play,0.8189,positive
Good experience,5,2025-11-27,Bank of Abyssinia,Google Play,0.4404,positive
Great! Use it daily. Always accurate. Zelle is flawless for me. Still the best. No change.,5,2025-11-27,Bank of Abyssinia,Google Play,0.8932,positive
Works great,5,2025-11-27,Bank of Abyssinia,Google Play,0.6249,positive
essy to use and get my banking.done,4,2025-11-27,Bank of Abyssinia,Google Play,0.0,neutral
"exceptional, excellent, efficient and effective",5,2025-11-27,Bank of Abyssinia,Google Play,0.8799,positive
Exelent to use it! I love itlp,5,2025-11-27,Bank of Abyssinia,Google Play,0.6696,positive
good,5,2025-11-27,Bank of Abyssinia,Google Play,0.4404,positive
love it,5,2025-11-27,Bank of Abyssinia,Google Play,0.6369,positive
The app make my life easy. I will just lay on my bed and do what ever I want to do especially my shopping. I love shopping but I do t even go to the store I can just shop online. Love ❤️ the app,5,2025-11-27,Bank of Abyssinia,Google Play,0.8885,positive
"Great App, Flow of processing through the various platforms is very easy and customer service is #1",5,2025-11-27,Bank of Abyssinia,Google Play,0.807,positive
Awesome Seriously,5,2025-11-27,Bank of Abyssinia,Google Play,0.5267,positive
2025 edit. increased a star since they have added a lot more features. One star missing because they charge a fee to wire money from the app that they don't charge online. 2010 - Good app for basic usage like finding balance of accounts. Wish it did more of actual online banking functions.,4,2025-11-27,Bank of Abyssinia,Google Play,0.7906,positive
"been using it for years. actually a solid app, built on good code. I've seldom had problems using it, and thankfully so. banking apps should be built well.",4,2025-11-27,Bank of Abyssinia,Google Play,0.8644,positive
Seems the same but it's faster.,4,2025-11-27,Bank of Abyssinia,Google Play,0.0,neutral
a little bit of a challenge. but like the online banking. thank you .,3,2025-11-27,Bank of Abyssinia,Google Play,0.7684,positive
it's easy to use,5,2025-11-27,Bank of Abyssinia,Google Play,0.4404,positive
👍 1000%,5,2025-11-27,Bank of Abyssinia,Google Play,0.0,neutral
I appreciate the simplicity of this application. It significantly enhances the ease of online banking.,5,2025-11-27,Bank of Abyssinia,Google Play,0.6369,positive
Some functions can not be done on mobile app and require PC or web login to perform.,3,2025-11-27,Bank of Abyssinia,Google Play,0.0,neutral
"Love this App, I've used it for years now. No issues, smooth and easy. Great app",5,2025-11-27,Bank of Abyssinia,Google Play,0.875,positive
"I just love this app it really to know where my money is going also I would to open up a savings account starting next month when #,security deposit money in December other than that all for me",5,2025-11-27,Bank of Abyssinia,Google Play,0.765,positive
complicated but useful,5,2025-11-27,Bank of Abyssinia,Google Play,0.5927,positive
positive,5,2025-11-27,Bank of Abyssinia,Google Play,0.5574,positive
11/26/25- the only thing that has changed my opinion about this app or my local bank is ...they 9nly get better. I love the convenience of this app. Everything I need is at my fingertips! 11/30/22- I haven't been inside of my bank for almost 3 years. I haven't had as much as a hiccup in managing my account via this app. I totally feel safe in all my transactions.,5,2025-11-26,Bank of Abyssinia,Google Play,0.8903,positive
was not allowed to update.,1,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
Great Bank!!,5,2025-11-26,Bank of Abyssinia,Google Play,0.6892,positive
why my account is public?,5,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
simple,5,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
excellent,5,2025-11-26,Bank of Abyssinia,Google Play,0.5719,positive
One of the better apps I have. pleased so far but could be better in some places. So far so good. I have a hard time using important parts of it.,4,2025-11-26,Bank of Abyssinia,Google Play,0.932,positive
"won't allow me to update my info and address for associated accounts, it shows my new information in the app but why am I still entering my old information for transactions to go thru without being declined?",4,2025-11-26,Bank of Abyssinia,Google Play,-0.0857,negative
nice easy layout. easy to navigate.,4,2025-11-26,Bank of Abyssinia,Google Play,0.8225,positive
easy to move from one function in banking to another in the app.,5,2025-11-26,Bank of Abyssinia,Google Play,0.4404,positive
"cannot find any easy way to make a recurring auto pay of Visa balance plus really hard to get a ""specialist"" to answer.",2,2025-11-26,Bank of Abyssinia,Google Play,-0.5422,negative
"Great app, interface and quite intuitive to use. I use it very regularly..",5,2025-11-26,Bank of Abyssinia,Google Play,0.6249,positive
Easy to use but i know its secure,5,2025-11-26,Bank of Abyssinia,Google Play,0.6187,positive
Easy to use!,5,2025-11-26,Bank of Abyssinia,Google Play,0.4926,positive
very easy to maneuver and to find all the information that I needed at the glance,5,2025-11-26,Bank of Abyssinia,Google Play,0.4927,positive
always excelente,5,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
Great application.,5,2025-11-26,Bank of Abyssinia,Google Play,0.6249,positive
"ever since the recent update, the app has been constantly crashing upon startup",2,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
Awesome bank love them!!!,5,2025-11-26,Bank of Abyssinia,Google Play,0.88,positive
"the worst app of any bank I have seen. the app crashes and when I open it I get a message the something went wrong and the next time I open it, the app works. so inconvenient and let me doubt the safety and security of the app itself. using it exposes me probably to even more threads as the app crashes by itself which can help attached for code execution. please fix this. we all want a safe, secure and working banking app. sad that there is not enough internal testing done before releasing it.",1,2025-11-26,Bank of Abyssinia,Google Play,-0.3851,negative
the man on the phone block d my d bit card because of fraud. he said he would send me the wallet. he said he would give me my new card number. he did not.,1,2025-11-26,Bank of Abyssinia,Google Play,-0.7506,negative
online chat support is really bad. Try and get ahold of a chat representative. good luck.,2,2025-11-26,Bank of Abyssinia,Google Play,0.5868,positive
very intuitive,5,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
ok,5,2025-11-26,Bank of Abyssinia,Google Play,0.296,positive
"This app clears the user ID when switching to paste in the password. Also on 2FA it didn't allow me to enter the 6-digit code. Couldn't login even though I had user ID, password, and 2FA cide, so tried to call the bank. No one available to take my call. Had to go to the bank to get service.",1,2025-11-26,Bank of Abyssinia,Google Play,-0.3749,negative
as always The Best,5,2025-11-26,Bank of Abyssinia,Google Play,0.6369,positive
always helpful and,4,2025-11-26,Bank of Abyssinia,Google Play,0.4215,positive
"The process of scheduling a payment for a business/person is harder than before, and trying to find a previous contact/pymnt is non-existent.",4,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
Very easy to navigate,5,2025-11-26,Bank of Abyssinia,Google Play,0.4927,positive
easy to use.,5,2025-11-26,Bank of Abyssinia,Google Play,0.4404,positive
I just love the app. It's so helpful,5,2025-11-26,Bank of Abyssinia,Google Play,0.8323,positive
very easy to use i am not real tech savvy,5,2025-11-26,Bank of Abyssinia,Google Play,0.4927,positive
Great app!! Easy-to-use. Love all the features! ! You're number 1 in my book!!,5,2025-11-26,Bank of Abyssinia,Google Play,0.8949,positive
professional and very helpful 👍,5,2025-11-26,Bank of Abyssinia,Google Play,0.4754,positive
"Compared to other banking apps, this one is extremely difficult to navigate. I am constantly confused about making payments, accessing statements, etc. Not user friendly at all.",2,2025-11-26,Bank of Abyssinia,Google Play,-0.7731,negative
Never fail!👌,5,2025-11-26,Bank of Abyssinia,Google Play,-0.3612,negative
horrible experience with this bank. My debit card is blocked and locked monthly. This month within 30 hours. I'm stuck.....money in the bank ....debit card in hand and I cannot use my own money. I will close this account and get a local bank. A 3 hour one way trip for me to go to my nearest branch. No car no drivers license. I will never let them keep me away from my money again. BOA SUCKS!!!,1,2025-11-26,Bank of Abyssinia,Google Play,-0.7796,negative
I've been using BoA for two decades and I feel like the customer support is severely lacking if compared to some other companies. Such as reporting transaction for disputes. They won't provide support unless the transaction clears. What's the point of fraud protection if we're waiting to clear it. Do better!,2,2025-11-26,Bank of Abyssinia,Google Play,-0.1154,negative
I can't contact the people PUP LABS TO STOP FUTURE TRANSACTIONS. THERE IS NO PHONE NUMBER OR CONTACT INFORMATION.,2,2025-11-26,Bank of Abyssinia,Google Play,-0.7796,negative
THIS APP IS OKAY FOR NEEDS THAT MET BANK IS OKAY,4,2025-11-26,Bank of Abyssinia,Google Play,0.4215,positive
User friendly. Easy to navigate.,5,2025-11-26,Bank of Abyssinia,Google Play,0.7269,positive
easy to use and to do,5,2025-11-26,Bank of Abyssinia,Google Play,0.4404,positive
I like it,5,2025-11-26,Bank of Abyssinia,Google Play,0.3612,positive
Nice app,5,2025-11-26,Bank of Abyssinia,Google Play,0.4215,positive
don't like the ads,4,2025-11-26,Bank of Abyssinia,Google Play,-0.2755,negative
very nice & easy to use. bank of america mobile app make everything easier. guys try to download ur bank of america app u will be glad u did. blc their app is very reliable & works great 👍,5,2025-11-26,Bank of Abyssinia,Google Play,0.9447,positive
"Since this morning (11/25/25) and for 12 hours since, the app keeps crashing, usually not allowing me to log in and and when I can, the lag is painful and I get the ""wait or cancel"" alert. But usually I never even get to logging in. I restarted my phone, then even uninstalled the app and reinstalled it and restarted... and it keeps crashing. There is a major bug to fix. I'm on a Google Pixel 6, Android 12. Never happened for me in the last ~8 years on any Android phone or Android OS version.",1,2025-11-26,Bank of Abyssinia,Google Play,-0.3716,negative
Good,4,2025-11-26,Bank of Abyssinia,Google Play,0.4404,positive
user friendly,5,2025-11-26,Bank of Abyssinia,Google Play,0.4939,positive
It has been Awersome talking to your employee this evening thank you so much,5,2025-11-26,Bank of Abyssinia,Google Play,0.3612,positive
Now more reliable than ever.,5,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
it's great,5,2025-11-26,Bank of Abyssinia,Google Play,0.6249,positive
"inaccurate balances , withdrawals recently not accounted for. .. °",2,2025-11-26,Bank of Abyssinia,Google Play,0.0,neutral
it's quite helpful,5,2025-11-26,Bank of Abyssinia,Google Play,0.4754,positive
i have been a customer for over 30 years. This app freezes when trying to input a name or phone number to pay with Zelle. Unreliable and Bank of America seems not to care.,1,2025-11-26,Bank of Abyssinia,Google Play,-0.4268,negative
I like the app. I've used it for over 12 years. One suggestion I'd like to see is the ability to view the password (when requested). I am not aware if this ability already exists.,4,2025-11-26,Bank of Abyssinia,Google Play,0.837,positive
like the dashboard & the new features 👌 😎,5,2025-11-26,Bank of Abyssinia,Google Play,0.8918,positive
Everything needed to do my banking and very easy to use works great,5,2025-11-26,Bank of Abyssinia,Google Play,0.807,positive
too complicated to get what you want to see. And AI doesn't make it easier. can't find closing date or payment date is one example.,2,2025-11-26,Bank of Abyssinia,Google Play,-0.2575,negative
It is easier to bank with the app than in person or on the computer. check deposits are simple. Account access permits convenient and frequent monitoring.,5,2025-11-26,Bank of Abyssinia,Google Play,0.4215,positive
I find the app really user friendly and I can handle all my financial needs.,5,2025-11-25,Bank of Abyssinia,Google Play,0.539,positive
it works!,5,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
Great experience,5,2025-11-25,Bank of Abyssinia,Google Play,0.6249,positive
"it is exceptional compared to others, very easy to use, and user friendly. I am really impressed. A great App.",4,2025-11-25,Bank of Abyssinia,Google Play,0.9343,positive
easy to use fast and convenient,5,2025-11-25,Bank of Abyssinia,Google Play,0.4404,positive
Everything is very clear and easy to find.,5,2025-11-25,Bank of Abyssinia,Google Play,0.7233,positive
good,5,2025-11-25,Bank of Abyssinia,Google Play,0.4404,positive
Helpful information,4,2025-11-25,Bank of Abyssinia,Google Play,0.4215,positive
"Over all decent, but I absolutely hate the bill pay feature. It is not clear and it is a pain to navigate and submit payments.",3,2025-11-25,Bank of Abyssinia,Google Play,-0.9362,negative
the mobile app works extremely well and allows you to transact almost every form of transaction easily. I have not found long delays if I call the 800 number and the support staff on that number actually know what they're doing,5,2025-11-25,Bank of Abyssinia,Google Play,0.796,positive
Safe banking and a great customer service team.,5,2025-11-25,Bank of Abyssinia,Google Play,0.7906,positive
"Its crashing every time its launches. Ask to clear cache because of a bug in the app. I have a Samsung S23+, Android 16, One UI v8.",1,2025-11-25,Bank of Abyssinia,Google Play,0.3818,positive
the app is simple straightforward CZ to use,5,2025-11-25,Bank of Abyssinia,Google Play,0.0,neutral
Awesome 👍,5,2025-11-25,Bank of Abyssinia,Google Play,0.6249,positive
